index,l1,l2,l3,l4,l5,l6
335,0.24423027,0.23146993,0.6312619,0.21570244,0.41357946,0.42874336
336,0.24445713,0.251284,0.6693841,0.20827633,0.44717878,0.5254305
337,0.22874139,0.21430804,0.613802,0.20956945,0.3869712,0.42363623
338,0.22281799,0.22522935,0.6134544,0.21400008,0.42800224,0.4878707
339,0.26301384,0.24557948,0.7048608,0.19884373,0.45522106,0.5444708
340,0.24515823,0.23765808,0.6426842,0.21687458,0.44719717,0.5316154
341,0.22704126,0.23949797,0.63890386,0.20853849,0.43505678,0.5061305
342,0.24648945,0.23492597,0.6300477,0.21370599,0.40797085,0.46333927
343,0.2389206,0.23979534,0.6585175,0.22343932,0.43551138,0.50392157
344,0.2679271,0.26962933,0.6837798,0.20934364,0.43276995,0.5219968
345,0.22316931,0.22508718,0.63254124,0.20245074,0.41658252,0.48651016
346,0.23538135,0.2278584,0.6633717,0.20794007,0.40577394,0.45330518
347,0.24871853,0.24278213,0.6790893,0.2138775,0.45928818,0.54469955
348,0.22191007,0.21420553,0.619486,0.2092964,0.42457658,0.4573835
349,0.23068191,0.24449886,0.6411668,0.21531521,0.43411422,0.5193803
350,0.247561,0.23047125,0.6173235,0.20887658,0.40201834,0.4533804
351,0.22601074,0.23514774,0.6540736,0.19281027,0.43615118,0.50519335
352,0.24828017,0.23609892,0.6438776,0.20722291,0.41740263,0.46137506
353,0.24611479,0.23523882,0.63395524,0.20937043,0.41586906,0.48719656
354,0.2540363,0.2395615,0.65068924,0.20973264,0.461704,0.5511155
355,0.22551511,0.21443337,0.61408246,0.21177559,0.41711834,0.44626883
356,0.22627534,0.23006035,0.6155195,0.22038676,0.44586468,0.5066888
357,0.22926928,0.24099165,0.63935465,0.20685099,0.4321548,0.50556225
358,0.26029018,0.23460414,0.63748056,0.21668129,0.3916665,0.42168775
359,0.23603767,0.23001835,0.656111,0.21116433,0.41859502,0.4649459
360,0.26053384,0.26128262,0.67919254,0.21075253,0.43349597,0.51730156
361,0.22004569,0.21296775,0.62910616,0.19510782,0.41921136,0.46631604
362,0.24346516,0.24776936,0.6484691,0.21501546,0.4352396,0.51141363
363,0.24563867,0.24051803,0.6576885,0.2180035,0.4286507,0.4996826
364,0.2533182,0.25461173,0.66006136,0.22473302,0.4170317,0.48790348
